mnemonic,Course,Term,Instructor,,,,
ds_tech_bootcamp,ds tech bootcamp,FALL2021,Pete Alonzi,,,,
stat6021,STAT 6021: Linear Models for Data Science,FALL2021,Jeffrey Woo,,,,
ds5100,DS 5100 Programming for Data Science,FALL2021,Judy Fox,,,,
cs5012,CS 5012: Foundations of Computer Science,FALL2021,Jeremy Bolton,,,,
ds6030,DS 6030: Statistical Learning (prev SYS 6018: Data Mining),FALL2021,Bill Basener,,,,
ds_biz_analytics,DS 5559: New Course in Data Science: Business Analytics for Data Scientists,FALL2021,Marc Ruggiano,,,,
ds5110,DS 5110: Big Data Systems (prev. DS 5559 Big Data Analytics),FALL2021,Adam Tashman,,,,
ds5001,DS 5001: Exploratory Text Analytics,FALL2021,Sree Mallikarjun,,,,
ds6001,DS 6001: Practice & Application,FALL2021,Eric Tassone,,,,
ds6011,DS 6011: Capstone,FALL2021,Jeremy Bolton,,,,
ds6011,DS 6011: Capstone,FALL2021,Peter Gedeck,,,,
ds6011,DS 6011: Capstone,FALL2021,Eric Tassone,,,,
ds6011,DS 6011: Capstone,FALL2021,Abbas Kazemipour,,,,
ds6011,DS 6011: Capstone,FALL2021,Cait Dreisbach,,,,
ds6011,DS 6011: Capstone,FALL2021,Lei Xie,,,,
ds6040,DS 6040: Bayesian Machine Learning,FALL2021,Bill Basener,,,,
ds6002,DS 6002: Ethics of Big Data,FALL2021,Renee Cummings,,,,
ds6050,DS 6050: Deep Learning,FALL2021,Stephen Baek,,,,
ds6013,Capstone Part 2,FALL2021,Raf Alvarado,,,,
ds6013,Capstone Part 2,FALL2021,Teague Henry,,,,
ds_tech_bootcamp,ds tech bootcamp,SUMMER2021,Pete Alonzi,,,,
stat6021,STAT 6021: Linear Models for Data Science,SUMMER2021,Jeffrey Woo,,,,
ds5100,DS 5100 Programming for Data Science,SUMMER2021,Nada Basit,,,,
cs5012,CS 5012: Foundations of Computer Science,SUMMER2021,Jeremy Bolton,,,,
ds6030,DS 6030: Statistical Learning (prev SYS 6018: Data Mining),SUMMER2021,Peter Gedeck,,,,
ds5110,DS 5110: Big Data Systems (prev. DS 5559 Big Data Analytics),SUMMER2021,Adam Tashman,,,,
ds5001,DS 5001: Exploratory Text Analytics,SUMMER2021,Sree Mallikarjun,,,,
ds6001,DS 6001: Practice & Application,SUMMER2021,Raf Alvarado,,,,
ds6011,DS 6011: Capstone,SUMMER2021,Raf Alvarado ,,,,
ds6011,DS 6011: Capstone,SUMMER2021,Teague Henry,,,,
ds6040,DS 6040: Bayesian Machine Learning,SUMMER2021,Teague Henry,,,,
ds6002,DS 6002: Ethics of Big Data,SUMMER2021,Renee Cummings,,,,
ds6050,DS 6050: Deep Learning,SUMMER2021,Rich Nguyen,,,,
ds6013,Capstone Part 2,SUMMER2021,Jon Kropko,,,,
ds6012,Ethics of Big Data 2,SUMMER2021,Renee Cummings,,,,
ds6003,DS 6003 Practice & Application Pt 2,SUMMER2021,Jason Williamson,,,,
ds_tech_bootcamp,ds tech bootcamp,SPRING2021,Pete Alonzi,,,,
stat6021,STAT 6021: Linear Models for Data Science,SPRING2021,Jeffrey Woo,,,,
ds5100,DS 5100 Programming for Data Science,SPRING2021,Judy Fox,,,,
cs5012,CS 5012: Foundations of Computer Science,SPRING2021,Panagiotis Apostolellis,,,,
ds6030,DS 6030: Statistical Learning (prev SYS 6018: Data Mining),SPRING2021,Mike Porter,,,,
ds5110,DS 5110: Big Data Systems (prev. DS 5559 Big Data Analytics),SPRING2021,Adam Tashman,,,,
ds5001,DS 5001: Exploratory Text Analytics,SPRING2021,Sree Mallikarjun,,,,
ds6001,DS 6001: Practice & Application,SPRING2021,Jon Kropko,,,,
ds6011,DS 6011: Capstone,SPRING2021,Jon Kropko,,,,
ds6040,DS 6040: Bayesian Machine Learning,SPRING2021,Bill Basener,,,,
ds6002,DS 6002: Ethics of Big Data 1,SPRING2021,Luis Felipe Rosado Murillo,,,,
ds6050,DS 6050: Deep Learning,SPRING2021,Rich Nguyen,,,,
ds6013,Capstone Part 2,SPRING2021,Raf Alvarado,,,,
ds6003,DS 6003 Practice & Application Pt 2,SPRING2021,Jason Williamson,,,,
ds6012,DS 6012: Big Data Ethics Pt 2,SPRING2021,Luis Felipe Rosado Murillo,,,,
sarc5400,Data Viz,SPRING2021,Eric Field,,,,
