MNEMONIC,LEARNING OUTCOME,,,
ds_tech_bootcamp,"Research documentation on your own as a first line of action
Describe the components of a computer
Explain the scales of computational power and scales of data
Differentiate between Windows, MacOS ,and Linux operating systems
Compare Command Line (CLI) and Graphical User Interface (GUI) shells
Demonstrate installing software to your computer
Implement important tasks with Linux
Create a GitHub account for career or personal use
Use CLI to operate Git software for version control
Use GUI to operate Github website interface for version control
Know how to Install R
Know how to install and launch Rstudio
Know how to install Anaconda
Know how to launch Spyder
Know how to launch Jupyter Notebook",,,
ds5001,"Understand and use language models such as bag of words
Understand and use vector space models
Understand how to measure similarity between documents
Understand how Principal Component Analysis (PCA) works
Understand and use topic models such as Latent Dirichlet Allocation (LDA)
Understand and use word embedding such as glove and word2vec
Understand and use sentiment analysis such as VADER
Understand and use Naive Bayes classification",,,
cs5012,"Have a working knowledge of parallel computing and apply this knowledge for improved computing efficiency
Select, Computationally Assess, and Deploy appropriate and efficient data structures and algorithms to solve Data Science problems
Define and Use Logic, Data Structures, and Algorithms to Solve Problems 
Connect, Transform, and Reduce Real-World Problems to Classical Problem Frameworks to make use of existing, efficient algorithmic solutions
Independently Explore advanced or supplementary topics to attain a deeper and complimentary understanding of topics
Reflect on peer-feedback, instructor-feedback, experiences, and lessons-learned related to the use of data structures and algorithms to make continual improvements and updates to methodologies applied 
Have a working knowledge of the Algorithm Complexity Class Hierarchy in order to gain perspective of the scope of the field and its contextual application to Data Science 
Design and understand regular expressions for pattern matching
Understand the important considerations for proper database design",,,
ds5100,"Basic Dataframe operations (Python and R)
Clone a repo on GitHub
Confidently work in an appropriate programming environment (IDE)
Confidently write a class and call its methods to simulate a scenario
Confidently write and call functions in both Python and R
Correctly pass parameters and retrieve function output(s)
Data structures (e.g., sequences and collections: set, list, dict, tuple)
Demonstrate how methods are inherited from base classes
Essential primitives (e.g., bool, int, float)
Find and utilize resources including online documentation
I/O: at least three different formats, including csv, txt, JSON
Identify and utilize primitive data types and data structures [Built in]
Import data into a Pandas Dataframe
Incorporating some exception handling
NumPy, Pandas (essentials)
Patch/debug broken code
Patch/debug code using in-line testing and unit testing (advanced)
Perform sensitivity analysis on functions (e.g., changing inputs and measuring impact on outputs)
Perform simple mathematical calculations (Python and R)
R: Apply the Tidyverse Pipe operator to aggregate data
R: Apply the Tidyverse verbs, such as: select(), filter(), arrange(), mutate(), summarize()
R: data types
R: Demonstrate use of element-wise operations
R: essential built-in functions like head(), tail(), rbind(), table(), summary(), str()
R: get started in RStudio and navigate around
R: save code in an R script
R: vectorization
Read and Write to and from various data formats
Read code on GitHub
Select and apply an appropriate data structure based on the problem requirements
Use a program API to utilize existing functions (e.g. assert statements.)
Using program API to utilize existing functions (e.g. sorting, searching, assert statements, etc.)
Utilize and implement add-on numerical packages to augment existing data structures
Write robust code by implementing the basic principles of program testing and debugging",,,
ds5110,"Execute distributed computing frameworks using MapReduce and Spark 
Demonstrate knowledge of applications for big data storage, retrieval, processing, and modeling using Amazon AWS, Hive, and others from the Hadoop ecosystem 
Implement PySpark for prevalent data science tasks, including data analysis and machine learning
Execute an end-to-end predictive modeling project using a large dataset
Delineate Spark basic architecture and functionality.

Apply RDDs and Pair RDDs in data analysis tasks
Apply DataFrames in data analysis tasks
Apply Spark SQL to data analysis tasks
Demonstrate how to preprocess data in PySpark
Identify the basics of the MLlib library in PySpark
Implement classification models in MLlib
Identify the statistics functionality in MLlib
Implement regression models in MLlib
Examine the alternating least squares algorithm
Implement recommender systems in PySpark using collaborative filtering
Execute the feature utilities package in ML
Construct machine learning pipelines
Apply dimension reduction techniques using PySpark
Execute model selection and tuning in PySpark
Distinguish the use and benefits of accumulators and broadcast variables
Build machine learning tools for the supervised learning task
Use hyperparameter tuning in Spark
Understand the concepts behind HDFS
Understand the concepts behind Hive.
Have some familiarity with running PySpark in a Databricks notebook
Understand how EC2 and S3 are used for computing and storage, respectively
Demonstrate the steps for configuring and launching an AWS EC2 instance
Understand the capabilities of Amazon Glue and Athena
Understand the concepts and use cases behind Apache Kafka
Create and configure an Amazon S3 bucket
Apply the concepts behind streaming systems
Execute the Spark Streaming library
Compute analytics using Spark Streaming
Explain the properties of data lakes and data lakehouses
Explain the shortcomings of data lakes, and how data lakehouses address these shortcomings
Work with Apache Delta lakes to implement their salient features (create, delete, update, conditional update, time travel)
Implement GraphX and GraphFrames in Spark",,,
ds6001,"Recognize how to get help with coding in a way that is accurate and efficient while demonstrating how to be a good citizen in online forums
Implement methods for acquiring electronic data in many formats: csv, flat files, json, from APIs, and using web scraping, and loading it into Python
Understand the purpose, typology, and language of relational databases
Understand the purpose, typology, and language of NoSQL databases
Understand how to implement databases Python: SQLite, PostgreSQL, MySQL, MongoDB
Understand how to query databases with SQL 
Understand how to query databases with the MongoDB query language
Employ methods for wrangling, joining, and aggregating data using pandas
Understand relationships in data using summary statistics, hypothesis tests, measurement models
Understand relationships in data using visualization with matplotlib, seaborn, plotly",,,
ds6002,"Identify situations that demand ethical responses involving data science
Develop the skills to respond creatively to critical ethics issues in data science",,,
ds6003,"Build knowledge about the education and training needed for a particular job, career path, and entry into the data science profession
Observe, receive information, and ask questions to acquire knowledge and awareness of data science professions
Relate academics with the world of work by connection data science careers to program coursework",,,
ds6011,"Collect and manage data to devise solutions to assigned research projects
Select, apply, and evaluate models, tools, and methods to address research projects
Interpret and assess results and evaluate the limitations of research findings
Resolve group work allocation, leadership, and cooperation issues",,,
ds6012,"Identify situations that demand ethical responses involving data science
Develop the skills to respond creatively to critical ethics issues in data science",,,
